"page","2013-04-01 pi","2013-04-01 pv","2013-05-01 pi","2013-05-01 pv","2013-06-01 pi","2013-06-01 pv","2013-07-01 pi","2013-07-01 pv","2013-08-01 pi","2013-08-01 pv","2013-09-01 pi","2013-09-01 pv","2013-10-01 pi","2013-10-01 pv","2013-11-01 pi","2013-11-01 pv","2013-12-01 pi","2013-12-01 pv","2014-01-01 pi","2014-01-01 pv","2014-02-01 pi","2014-02-01 pv","2014-03-01 pi","2014-03-01 pv","2014-04-01 pi","2014-04-01 pv","2014-05-01 pi","2014-05-01 pv","2014-06-01 pi","2014-06-01 pv","2014-07-01 pi","2014-07-01 pv","2014-08-01 pi","2014-08-01 pv","2014-09-01 pi","2014-09-01 pv","2014-10-01 pi","2014-10-01 pv","2014-11-01 pi","2014-11-01 pv","2014-12-01 pi","2014-12-01 pv","2015-01-01 pi","2015-01-01 pv","2015-02-01 pi","2015-02-01 pv","2015-03-01 pi","2015-03-01 pv","2015-04-01 pi","2015-04-01 pv","2015-05-01 pi","2015-05-01 pv","2015-06-01 pi","2015-06-01 pv","2015-07-01 pi","2015-07-01 pv","2015-08-01 pi","2015-08-01 pv","2015-09-01 pi","2015-09-01 pv","2015-10-01 pi","2015-10-01 pv","2015-11-01 pi","2015-11-01 pv","2015-12-01 pi","2015-12-01 pv","2016-01-01 pi","2016-01-01 pv","2016-02-01 pi","2016-02-01 pv","2016-03-01 pi","2016-03-01 pv","2016-04-01 pi","2016-04-01 pv","2016-05-01 pi","2016-05-01 pv","2016-06-01 pi","2016-06-01 pv","2016-07-01 pi","2016-07-01 pv","2016-08-01 pi","2016-08-01 pv","2016-09-01 pi","2016-09-01 pv","2016-10-01 pi","2016-10-01 pv","2016-11-01 pi","2016-11-01 pv","2016-12-01 pi","2016-12-01 pv","2017-01-01 pi","2017-01-01 pv","2017-02-01 pi","2017-02-01 pv","2017-03-01 pi","2017-03-01 pv","2017-04-01 pi","2017-04-01 pv","2017-05-01 pi","2017-05-01 pv","2017-06-01 pi","2017-06-01 pv","2017-07-01 pi","2017-07-01 pv","2017-08-01 pi","2017-08-01 pv","2017-09-01 pi","2017-09-01 pv","2017-10-01 pi","2017-10-01 pv","2017-11-01 pi","2017-11-01 pv","2017-12-01 pi","2017-12-01 pv","2018-01-01 pi","2018-01-01 pv","2018-02-01 pi","2018-02-01 pv","2018-03-01 pi","2018-03-01 pv","2018-04-01 pi","2018-04-01 pv","2018-05-01 pi","2018-05-01 pv","2018-06-01 pi","2018-06-01 pv"
"www.emo-berlin.de","","","16","12","3","3","3","3","6","3","9","6","9","7","11","9","1","1","3","2","3","3","6","4","","","","","","","6","5","7","5","3","2","3","3","4","4","5","2","","","","","","","5","5","4","4","11","7","4","3","1","1","2","1","2","2","","","2","2","3","3","11","5","11","5","6","5","17","10","3","2","8","4","4","3","2","2","8","5","2","2","1","1","7","3","12","4","4","4","7","5","","","7","5","10","8","4","4","3","3","2","1","5","4","1","1","3","3","1","1","3","3","8","4","1","1","7","6"
"digitale-topographische-karte-1-25-000-dtk25-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","5","5","1","1","3","3","6","5","5","2","5","4","3","3","","","","","","","5","5","3","3","2","2","2","2","3","3","6","5","1","1","4","3","1","1","3","3","4","3","2","2","2","2","","","12","11","29","23","29","29","7","7"
"breitbandversorgung-leitungsgebundene-technologien-privatverfügbarkeit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","23","34","27","4","4","4","4","7","6","5","4","7","6"
"breitbandverfügbarkeit-auf-der-basis-von-gewerbekunden-produkten-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","5"
"gebäudealter-der-wohnbebauung-umweltatlas-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","5"
"bodenrichtwerte-01012017-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","8","7","3","3","","","","","7","5"
"berlin-um-1650-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","7","6"
"vbb-fahrplandaten-mitte-januar-2018-bis-mitte-dezember-2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","24","70","60","16","13","16","13","14","13","7","7"
"verdiensterhebung-im-land-berlin-und-brandenburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","12","11","4","4","15","14","10","9","7","6"
"datenberlinde-metadaten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","84","17","15","8","5","1","1","10","10","3","3","4","4","6","6","20","17","4","4","28","24","4","4","1","1","17","14","9","9","7","6"
"verkehrsbedingte-luftbelastung-im-straßenraum-2015-und-2020-umweltatlas-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","12","23","21","5","5","6","6","6","6","9","8","5","5","7","7","11","10","30","26","15","14","6","6","15","13","9","8","13","8","9","8","10","10","7","6","4","4","18","17","7","4"
"teilnehmerzahlen-am-religions-und-weltanschauungsunterricht","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10","23","21","3","3","11","8","17","16","11","9","3","3","8","8","7","7","3","3","3","3","4","4","2","2","5","4","6","6","3","3","9","8","6","6","1","1","5","4","4","4","7","5"
"sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-hilfe","","","","","","","","","","","","","","","","","","","","","1","1","5","5","8","7","7","7","12","10","4","4","","","5","5","14","10","16","13","4","4","2","2","2","1","3","3","7","7","9","8","5","5","1","1","3","3","2","2","3","3","4","3","1","1","1","1","6","6","11","9","7","5","9","8","5","4","9","8","1","1","1","1","","","10","10","2","1","4","4","8","6","4","4","5","5","7","7","10","9","5","3","4","4","1","1","","","","","","","","","","","","","9","8","6","5","7","7"
"grünanlagenbestand-berlin-einschl-der-öffentlichen-spielplätze-grünanlagen-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","2","5","2","2","2","6","5","7","4"
"sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005","","","","","","","","","","","","","","","","","","","","","1","1","1","1","19","16","13","12","15","14","5","5","9","9","14","12","22","21","28","23","12","12","10","10","3","3","9","9","14","10","18","15","9","9","2","2","6","5","10","10","13","11","15","14","6","4","3","3","19","17","11","9","11","11","16","16","8","8","20","16","24","19","4","4","11","10","10","9","7","5","11","9","25","22","26","25","14","13","26","24","19","19","21","18","20","17","12","11","11","11","14","13","9","8","14","14","8","8","8","8","15","15","19","17","7","6"
"haushaltsplan-des-bezirksamtes-lichtenberg-von-berlin-für-20162017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","23","11","11","10","8","12","11","12","10","11","10","2","2","7","6","6","5","5","4","2","2","29","18","22","18","10","8","15","11","27","14","31","28","24","22","24","22","24","21","23","20","24","19","18","16","21","17","23","20","2","2","7","7","1","1","2","2","7","3"
"polizeidirektionen-und-polizeiabschnitte-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","6","6","7","7","5","4","5","5","4","4","8","7","10","8","1","1","2","2","5","4","8","7","13","10","11","10","8","6","17","14","11","11","7","6","9","8","12","9","9","8","8","8","5","5","6","6","4","4","5","5","","","3","2","7","5"
"ortsteile-von-berlin-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","7","4","4","53","47","20","17","8","8","11","10","7","5","5","5","7","7","7","7","11","10","14","14","17","15","40","31","15","14","7","7","7","7","14","11","15","14","8","8","20","17","22","20","8","6","5","5","3","3","10","8","13","12","9","8","7","6"
"bruttoinlandsprodukt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","15","9","9","11","11","2","2","19","15","10","7","3","3","2","2","6","5","7","4"
"digitale-farbige-orthophotos-2017-dop20rgb-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6"
"geologische-bohrdaten-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","2","2","2","2","5","5","2","2","1","1","","","2","1","1","1","3","1","6","6","2","2","5","5","7","7","6","6","10","5","12","12","9","8","7","4","6","6","2","1","9","9","4","3","15","9","7","5","1","1","","","","","7","5"
"standorte-öffentlicher-schulen-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","10","9","16","16","19","16","18","16","14","12","9","9","8","7","19","13","21","18","9","9","23","20","17","16","22","19","36","25","15","13","5","5","10","7","16","13","14","12","11","11","10","10","7","7","6","5","6","6","2","2","2","2","","","7","7"
"berlin-um-1850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","3","2","2","2","2","6","6","2","2","2","2","4","4","1","1","2","2","2","2","6","6","7","7"
"gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-beschäftigte-im","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","1","1","","","1","1","","","","","1","1","1","1","","","1","1","","","","","","","","","","","","","","","1","1","5","4","","","1","1","3","3","4","4","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","10","8","6","5"
"daten-zur-arbeitslosigkeit-1995-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4"
"verkehrsbedingte-luftbelastung-im-straßenraum-2015-umweltatlas-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","","","5","5","6","5"
"digitale-topographische-karte-1-50-000-dtk50-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","8","7","2","2","6","5","2","2","5","5","4","4","2","2","","","","","","","7","7","12","12","10","8","5","4","5","4","3","3","4","4","9","6","5","5","8","7","4","4","9","5","5","4","3","3","3","3","","","1","1","6","6"
"gesundheitsberichterstattung-berlin-kontext-gesundheitsmonitoring-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","17","2","2","31","26","19","16","3","3","9","7","13","11","5","5","8","6","12","11","22","19","4","4","17","15","12","8","5","4","13","11","6","5","5","3","1","1","10","6","18","16","7","7","11","10","2","2","2","1","2","2","8","6","6","6"
"berlin-zoom-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","6","6"
"angebote-für-kinder-jugend-und-familie-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5"
